index,type,start_ms,duration_ms,units
1,MARK,0.000000,0.859938,2
2,SPACE,0.859938,0.415000,1
3,MARK,1.274938,0.812187,2
4,SPACE,2.087125,0.416625,1
5,MARK,2.503750,0.418313,1
6,SPACE,2.922063,0.416625,1
7,MARK,3.338688,0.418313,1
8,SPACE,3.757000,0.416625,1
9,MARK,4.173625,0.418313,1
10,SPACE,4.591937,0.826250,2
11,MARK,5.418188,0.812125,2
12,SPACE,6.230313,0.416687,1
13,MARK,6.647000,0.418250,1
14,SPACE,7.065250,0.416687,1
15,MARK,7.481937,0.418250,1
16,SPACE,7.900187,0.416687,1
17,MARK,8.316875,1.182125,3
18,SPACE,9.499000,0.416687,1
19,MARK,9.915687,0.418250,1
20,SPACE,10.333937,0.416687,1
21,MARK,10.750625,0.418250,1
22,SPACE,11.168875,0.416687,1
23,MARK,11.585562,0.418250,1
24,SPACE,12.003813,0.416687,1
25,MARK,12.420500,0.812125,2
26,SPACE,13.232625,0.416687,1
27,MARK,13.649313,0.812125,2
28,SPACE,14.461438,0.416687,1
29,MARK,14.878125,0.418250,1
30,SPACE,15.296375,0.416687,1
31,MARK,15.713062,0.418250,1
32,SPACE,16.131312,0.416687,1
33,MARK,16.548000,0.418313,1
34,SPACE,16.966313,0.826187,2
35,MARK,17.792500,0.812187,2
36,SPACE,18.604688,0.416625,1
37,MARK,19.021312,0.418313,1
38,SPACE,19.439625,0.416625,1
39,MARK,19.856250,0.418313,1
40,SPACE,20.274562,0.416625,1
41,MARK,20.691187,1.182188,3
42,SPACE,21.873375,0.416625,1
43,MARK,22.290000,0.418313,1
44,SPACE,22.708313,0.416625,1
45,MARK,23.124938,0.418313,1
46,SPACE,23.543250,0.416625,1
47,MARK,23.959875,0.418313,1
48,SPACE,24.378187,0.416625,1
49,MARK,24.794812,0.812187,2
50,SPACE,25.607000,0.416625,1
51,MARK,26.023625,0.812187,2
52,SPACE,26.835812,0.416625,1
53,MARK,27.252437,0.418313,1
54,SPACE,27.670750,0.416625,1
55,MARK,28.087375,0.418313,1
56,SPACE,28.505688,0.416625,1
57,MARK,28.922312,0.418313,1
58,SPACE,29.340625,0.826250,2
59,MARK,30.166875,0.812187,2
60,SPACE,30.979063,0.416625,1
61,MARK,31.395687,0.418313,1
62,SPACE,31.814000,0.416625,1
63,MARK,32.230625,0.418313,1
64,SPACE,32.648938,0.416625,1
65,MARK,33.065562,1.182188,3
66,SPACE,34.247750,0.416625,1
67,MARK,34.664375,0.418313,1
68,SPACE,35.082687,0.416625,1
69,MARK,35.499312,0.418313,1
70,SPACE,35.917625,0.416625,1
71,MARK,36.334250,0.358625,1
